Task_ID,Title,Description,Assignee,Created_Date,Due_Date,Completed_Date,Status,Priority,Estimated_Hours,Actual_Hours,Project,Labels/Tags,Task_Complexity,Predicted_Priority,Delay_Risk_Score,Completion_Probability,AI_Recommendation
145,Bug Fix,Documentation task for Automation Bot project.,Hannah,04/10/2024,15/10/2024,15/10/2024,Completed,Critical,15,16,Productivity Suite,ML,Medium,Low,0.35,0.65,Review task dependencies
146,Backend API,User Feedback Integration task for AI Task Manager project.,Fiona,23/12/2024,09/01/2025,09/01/2025,Completed,High,2,0,Productivity Suite,ML,Low,High,0.13,0.87,Maintain current workflow efficiency
147,Bug Fix,Model Training task for Smart Workflow project.,George,14/07/2024,31/07/2024,31/07/2024,Completed,Critical,13,12,AI Task Manager,integration,Low,Critical,0.88,0.12,Reassign to experienced member
148,Documentation,User Feedback Integration task for Data Analytics project.,Diana,27/10/2024,11/11/2024,11/11/2024,Completed,Low,3,1,Smart Workflow,testing,High,High,0.08,0.92,Automate repetitive sub-tasks
149,UI Design,User Feedback Integration task for AI Task Manager project.,Fiona,21/04/2024,07/05/2024,07/05/2024,Completed,Low,13,17,Productivity Suite,AI,High,Low,0.36,0.64,Increase resources for faster completion
150,UI Design,Documentation task for Automation Bot project.,Hannah,24/07/2024,17/08/2024,,To Do,Medium,4,7,Data Analytics,frontend,High,Low,0.53,0.47,Increase resources for faster completion
151,Bug Fix,UI Design task for Automation Bot project.,George,25/07/2024,16/08/2024,16/08/2024,Completed,Medium,5,9,Smart Workflow,AI,Low,Medium,0.06,0.94,Review task dependencies
152,Model Training,UI Design task for Data Analytics project.,Diana,08/06/2024,15/06/2024,15/06/2024,Completed,High,15,20,Smart Workflow,testing,Medium,High,0.44,0.56,Automate repetitive sub-tasks
153,Model Training,Documentation task for Smart Workflow project.,Bob,06/03/2024,16/03/2024,,On Hold,Critical,3,1,Productivity Suite,database,Low,High,0.6,0.4,Maintain current workflow efficiency
154,Documentation,Bug Fix task for Smart Workflow project.,Alice,16/02/2024,24/02/2024,,On Hold,Low,20,20,Data Analytics,testing,Low,High,0.77,0.23,Increase resources for faster completion
155,Model Training,Documentation task for Data Analytics project.,Fiona,06/07/2024,24/07/2024,24/07/2024,Completed,Low,11,15,Automation Bot,backend,Medium,High,0.58,0.42,Maintain current workflow efficiency
156,Documentation,Documentation task for Smart Workflow project.,Fiona,24/03/2024,03/04/2024,03/04/2024,Completed,High,19,17,Automation Bot,backend,Medium,Medium,0.46,0.54,Increase resources for faster completion
157,Testing,User Feedback Integration task for Productivity Suite project.,Diana,03/05/2024,16/05/2024,16/05/2024,Completed,High,9,9,Data Analytics,NLP,Low,Critical,0.41,0.59,Automate repetitive sub-tasks
158,Testing,Documentation task for AI Task Manager project.,George,20/11/2024,30/11/2024,30/11/2024,Completed,Low,20,22,Smart Workflow,NLP,Medium,Critical,0.52,0.48,Reassign to experienced member
159,Testing,Documentation task for Automation Bot project.,Diana,21/06/2024,02/07/2024,02/07/2024,Completed,Critical,10,12,Productivity Suite,backend,High,Low,0.63,0.37,Increase resources for faster completion
160,Backend API,Bug Fix task for AI Task Manager project.,Ethan,09/06/2024,29/06/2024,29/06/2024,Completed,Medium,9,14,Data Analytics,backend,Low,Critical,0.45,0.55,Automate repetitive sub-tasks
161,Model Training,Backend API task for Smart Workflow project.,Fiona,23/07/2024,10/08/2024,10/08/2024,Completed,Medium,16,21,Data Analytics,ML,High,Critical,0.36,0.64,Increase resources for faster completion
162,Testing,UI Design task for Automation Bot project.,Charlie,13/09/2024,03/10/2024,03/10/2024,Completed,Medium,20,21,Productivity Suite,NLP,Medium,Critical,0.13,0.87,Maintain current workflow efficiency
163,Data Analysis,Model Training task for Smart Workflow project.,Fiona,12/08/2024,26/08/2024,26/08/2024,Completed,Medium,9,13,Productivity Suite,AI,Medium,Low,0.72,0.28,Automate repetitive sub-tasks
164,Documentation,Data Analysis task for Smart Workflow project.,Alice,08/07/2024,22/07/2024,22/07/2024,Completed,High,13,18,AI Task Manager,backend,High,Low,0.98,0.02,Increase resources for faster completion
165,Data Analysis,Documentation task for Data Analytics project.,Charlie,02/10/2024,13/10/2024,13/10/2024,Completed,High,14,13,Automation Bot,frontend,Medium,Critical,0.41,0.59,Review task dependencies
166,Model Training,Model Training task for AI Task Manager project.,Diana,08/12/2024,11/12/2024,11/12/2024,Completed,High,18,17,Automation Bot,ML,Medium,Low,0.17,0.83,Maintain current workflow efficiency
167,Bug Fix,Data Analysis task for Productivity Suite project.,Charlie,23/01/2024,10/02/2024,,On Hold,High,16,15,Data Analytics,AI,Low,Medium,0.17,0.83,Review task dependencies
168,User Feedback Integration,Backend API task for Automation Bot project.,Hannah,14/10/2024,31/10/2024,31/10/2024,Completed,High,10,13,AI Task Manager,frontend,High,Medium,0.24,0.76,Increase resources for faster completion
169,Data Analysis,User Feedback Integration task for Productivity Suite project.,Hannah,22/02/2024,10/03/2024,10/03/2024,Completed,High,17,20,AI Task Manager,database,Medium,Critical,0.26,0.74,Automate repetitive sub-tasks
170,Documentation,Bug Fix task for Automation Bot project.,Alice,07/08/2024,29/08/2024,29/08/2024,Completed,High,3,7,Data Analytics,AI,Low,High,0.63,0.37,Increase resources for faster completion
171,Backend API,Model Training task for Productivity Suite project.,George,13/04/2024,25/04/2024,25/04/2024,Completed,Low,15,17,AI Task Manager,backend,High,Critical,0.04,0.96,Reassign to experienced member
172,Testing,Data Analysis task for Smart Workflow project.,Ethan,23/03/2024,27/03/2024,27/03/2024,Completed,Low,19,20,AI Task Manager,ML,High,Critical,0.24,0.76,Review task dependencies
173,User Feedback Integration,Documentation task for Smart Workflow project.,Bob,14/04/2024,28/04/2024,28/04/2024,Completed,High,16,20,AI Task Manager,backend,Low,Medium,0.55,0.45,Review task dependencies
174,UI Design,Backend API task for Data Analytics project.,Alice,15/07/2024,04/08/2024,04/08/2024,Completed,Critical,13,15,Automation Bot,database,Medium,Low,0.75,0.25,Maintain current workflow efficiency
175,Testing,User Feedback Integration task for Data Analytics project.,Diana,07/12/2024,27/12/2024,27/12/2024,Completed,High,20,20,Productivity Suite,ML,High,Critical,0.34,0.66,Increase resources for faster completion
176,Data Analysis,User Feedback Integration task for Automation Bot project.,Alice,05/11/2024,28/11/2024,28/11/2024,Completed,Medium,4,8,Productivity Suite,ML,Low,Low,0.29,0.71,Reassign to experienced member
177,Data Analysis,Backend API task for Automation Bot project.,Bob,11/09/2024,30/09/2024,30/09/2024,Completed,Medium,18,22,AI Task Manager,ML,Medium,Low,0.01,0.99,Automate repetitive sub-tasks
178,Bug Fix,Documentation task for Data Analytics project.,George,04/12/2024,17/12/2024,17/12/2024,Completed,High,5,6,Productivity Suite,frontend,Low,High,0.85,0.15,Automate repetitive sub-tasks
179,UI Design,Testing task for AI Task Manager project.,Alice,08/08/2024,11/08/2024,11/08/2024,Completed,Low,16,15,AI Task Manager,frontend,Low,Critical,0.24,0.76,Reassign to experienced member
180,Backend API,Documentation task for Automation Bot project.,Ethan,25/03/2024,11/04/2024,,In Progress,High,10,14,Smart Workflow,database,High,High,0.1,0.9,Review task dependencies
181,Model Training,Testing task for Productivity Suite project.,George,14/01/2024,23/01/2024,23/01/2024,Completed,Low,16,18,Productivity Suite,backend,Low,Critical,0.99,0.01,Automate repetitive sub-tasks
182,Backend API,Testing task for Smart Workflow project.,Ethan,20/04/2024,12/05/2024,,On Hold,Medium,20,24,Smart Workflow,frontend,Medium,Medium,0.05,0.95,Maintain current workflow efficiency
183,Data Analysis,User Feedback Integration task for Smart Workflow project.,Alice,07/02/2024,28/02/2024,,To Do,High,2,2,Data Analytics,frontend,High,Critical,0.49,0.51,Maintain current workflow efficiency
184,Backend API,Backend API task for Automation Bot project.,George,01/03/2024,17/03/2024,,On Hold,Low,4,9,Smart Workflow,NLP,Low,Medium,0.12,0.88,Reassign to experienced member
185,UI Design,Documentation task for Automation Bot project.,Diana,19/04/2024,06/05/2024,06/05/2024,Completed,Medium,14,19,Data Analytics,ML,High,Low,0.12,0.88,Maintain current workflow efficiency
186,UI Design,User Feedback Integration task for Data Analytics project.,Alice,07/10/2024,21/10/2024,21/10/2024,Completed,Critical,6,10,Smart Workflow,NLP,High,Low,0.3,0.7,Increase resources for faster completion
187,Model Training,Testing task for Smart Workflow project.,Fiona,22/11/2024,04/12/2024,,To Do,Low,12,16,AI Task Manager,database,Low,Critical,0.54,0.46,Review task dependencies
188,Documentation,UI Design task for Data Analytics project.,Charlie,09/06/2024,14/06/2024,14/06/2024,Completed,Low,17,20,Productivity Suite,AI,Low,Low,0.65,0.35,Increase resources for faster completion
189,Bug Fix,Model Training task for Automation Bot project.,George,24/07/2024,16/08/2024,16/08/2024,Completed,Low,2,5,Data Analytics,backend,High,Medium,0.5,0.5,Maintain current workflow efficiency
190,Data Analysis,Bug Fix task for AI Task Manager project.,Diana,27/11/2024,06/12/2024,,Completed,High,19,17,Smart Workflow,integration,High,High,0.09,0.91,Increase resources for faster completion
191,UI Design,Testing task for Automation Bot project.,Diana,04/12/2024,29/12/2024,29/12/2024,Completed,Critical,3,1,Productivity Suite,integration,High,Medium,0.49,0.51,Reassign to experienced member
192,Backend API,Testing task for Data Analytics project.,Fiona,09/01/2024,25/01/2024,,On Hold,Medium,17,16,Automation Bot,testing,Low,Low,0.72,0.28,Increase resources for faster completion
193,Backend API,Bug Fix task for Smart Workflow project.,Alice,19/09/2024,29/09/2024,,In Progress,Low,13,15,AI Task Manager,testing,High,Critical,0.31,0.69,Review task dependencies
194,Bug Fix,UI Design task for Automation Bot project.,Diana,18/06/2024,01/07/2024,01/07/2024,Completed,High,15,15,AI Task Manager,NLP,Medium,Medium,0.41,0.59,Increase resources for faster completion
195,Data Analysis,Data Analysis task for Automation Bot project.,George,08/10/2024,23/10/2024,23/10/2024,Completed,High,16,20,AI Task Manager,database,Low,Low,0.99,0.01,Maintain current workflow efficiency
196,Documentation,Data Analysis task for Smart Workflow project.,George,28/08/2024,01/09/2024,01/09/2024,Completed,High,9,14,Automation Bot,testing,High,Low,0.78,0.22,Reassign to experienced member
197,Model Training,Testing task for Smart Workflow project.,Charlie,11/05/2024,14/05/2024,14/05/2024,Completed,Critical,9,11,AI Task Manager,integration,Medium,Critical,0.96,0.04,Reassign to experienced member
198,Model Training,Data Analysis task for Productivity Suite project.,Diana,06/01/2024,27/01/2024,27/01/2024,Completed,Medium,9,11,AI Task Manager,NLP,Low,Medium,0.72,0.28,Reassign to experienced member
199,UI Design,Bug Fix task for Productivity Suite project.,Hannah,04/03/2024,21/03/2024,21/03/2024,Completed,High,5,3,Productivity Suite,integration,Low,Critical,0.58,0.42,Reassign to experienced member
200,UI Design,Testing task for Productivity Suite project.,Bob,05/02/2024,23/02/2024,,On Hold,High,17,17,Data Analytics,AI,Low,Medium,0.29,0.71,Reassign to experienced member
201,User Feedback Integration,UI Design task for Data Analytics project.,Hannah,12/10/2024,01/11/2024,01/11/2024,Completed,High,6,8,Data Analytics,integration,Low,Low,0.09,0.91,Maintain current workflow efficiency
202,User Feedback Integration,Testing task for Productivity Suite project.,Ethan,10/01/2024,13/01/2024,13/01/2024,Completed,Medium,16,21,Productivity Suite,database,Medium,Critical,0.45,0.55,Maintain current workflow efficiency
203,Testing,Data Analysis task for Data Analytics project.,Alice,20/10/2024,07/11/2024,07/11/2024,Completed,Low,17,19,AI Task Manager,database,Medium,Low,0.15,0.85,Reassign to experienced member
204,Model Training,Model Training task for Automation Bot project.,Ethan,12/04/2024,03/05/2024,03/05/2024,Completed,Low,4,8,Productivity Suite,database,High,Low,0.04,0.96,Reassign to experienced member
205,Documentation,Bug Fix task for Productivity Suite project.,Hannah,06/06/2024,30/06/2024,30/06/2024,Completed,Critical,13,15,AI Task Manager,backend,High,High,0.71,0.29,Automate repetitive sub-tasks
206,Documentation,Model Training task for Smart Workflow project.,Hannah,11/06/2024,19/06/2024,19/06/2024,Completed,High,17,16,Smart Workflow,NLP,Low,High,0.16,0.84,Review task dependencies
207,UI Design,User Feedback Integration task for Productivity Suite project.,Bob,04/11/2024,10/11/2024,,On Hold,High,5,4,Data Analytics,frontend,Low,Medium,0.34,0.66,Maintain current workflow efficiency
208,User Feedback Integration,User Feedback Integration task for AI Task Manager project.,Ethan,01/03/2024,22/03/2024,,On Hold,Low,10,13,Smart Workflow,integration,High,Medium,0.67,0.33,Maintain current workflow efficiency
209,Documentation,Data Analysis task for AI Task Manager project.,Charlie,01/06/2024,11/06/2024,11/06/2024,Completed,High,4,3,Automation Bot,testing,High,Medium,0.76,0.24,Automate repetitive sub-tasks
210,UI Design,Model Training task for AI Task Manager project.,George,05/06/2024,16/06/2024,16/06/2024,Completed,Medium,2,5,Smart Workflow,testing,Low,Critical,0.84,0.16,Automate repetitive sub-tasks
211,UI Design,User Feedback Integration task for Data Analytics project.,Hannah,04/02/2024,12/02/2024,12/02/2024,Completed,Critical,16,19,Smart Workflow,AI,High,Critical,0.7,0.3,Reassign to experienced member
212,Documentation,User Feedback Integration task for Automation Bot project.,Alice,12/10/2024,19/10/2024,19/10/2024,Completed,Critical,18,21,Smart Workflow,backend,Low,Critical,0.66,0.34,Review task dependencies
213,Bug Fix,Data Analysis task for Data Analytics project.,George,08/02/2024,14/02/2024,,In Progress,Low,16,18,Smart Workflow,frontend,High,High,0.15,0.85,Automate repetitive sub-tasks
214,Backend API,Testing task for Data Analytics project.,Diana,15/07/2024,20/07/2024,,Completed,Critical,12,14,Automation Bot,ML,Medium,High,0.27,0.73,Review task dependencies
215,Documentation,Testing task for Automation Bot project.,George,03/06/2024,06/06/2024,06/06/2024,Completed,High,14,12,AI Task Manager,testing,High,High,0.07,0.93,Automate repetitive sub-tasks
216,Testing,Backend API task for AI Task Manager project.,Bob,19/08/2024,03/09/2024,,To Do,Medium,7,8,AI Task Manager,testing,Low,Low,0.42,0.58,Automate repetitive sub-tasks
217,User Feedback Integration,Documentation task for Smart Workflow project.,Hannah,18/03/2024,25/03/2024,25/03/2024,Completed,Low,14,13,Automation Bot,integration,Medium,Low,0.93,0.07,Automate repetitive sub-tasks
218,User Feedback Integration,Data Analysis task for Automation Bot project.,Charlie,07/08/2024,23/08/2024,23/08/2024,Completed,Medium,17,15,Data Analytics,AI,Medium,Critical,0.86,0.14,Increase resources for faster completion
219,Documentation,UI Design task for Automation Bot project.,Fiona,24/07/2024,07/08/2024,07/08/2024,Completed,Low,3,1,Automation Bot,AI,Medium,Critical,0.08,0.92,Increase resources for faster completion
220,Bug Fix,Data Analysis task for AI Task Manager project.,Bob,24/07/2024,31/07/2024,31/07/2024,Completed,Critical,14,19,Data Analytics,database,High,High,0.93,0.07,Maintain current workflow efficiency
221,User Feedback Integration,Bug Fix task for Smart Workflow project.,Fiona,12/06/2024,26/06/2024,,Completed,High,11,11,Smart Workflow,testing,Medium,Low,0.31,0.69,Automate repetitive sub-tasks
222,Bug Fix,User Feedback Integration task for Smart Workflow project.,George,15/03/2024,30/03/2024,30/03/2024,Completed,Low,3,1,Smart Workflow,backend,Medium,Medium,0.07,0.93,Reassign to experienced member
223,UI Design,Model Training task for AI Task Manager project.,Fiona,08/10/2024,02/11/2024,02/11/2024,Completed,Low,12,10,Productivity Suite,testing,Medium,Low,0.29,0.71,Reassign to experienced member
224,Bug Fix,Bug Fix task for AI Task Manager project.,Alice,25/09/2024,03/10/2024,03/10/2024,Completed,Medium,13,11,Smart Workflow,AI,Low,Low,0.03,0.97,Increase resources for faster completion
225,Model Training,Bug Fix task for Data Analytics project.,Diana,21/11/2024,26/11/2024,,In Progress,Low,13,16,Smart Workflow,backend,Medium,Critical,0.16,0.84,Review task dependencies
